,song,genre,singer,title,tempo1,tempo2,mean_ft1,var_ft1,mean_ft2,var_ft2,mean_mel1,var_mel1,mean_mel2,var_mel2,mean_harm1,var_harm1,mean_perc1,var_perc1,mean_harm2,var_harm2,mean_perc2,var_perc2,mean_sc1,var_sc1,mean_sc2,var_sc2,mean_chroma1,var_chroma1,mean_chroma2,var_chroma2,mean_mfccs1,var_mfccs1,mean_mfccs2,var_mfccs2,zero_crossings_mean1,zero_crossings_var1,zero_crossings_mean2,zero_crossings_var2
0,SUPERBEE(수퍼비)  - 수퍼비와 (Feat. BewhY) (Prod. BewhY) 가사-njJt2uSJi9Q.mp3,hip-hop,SUPERBEE(수퍼비) ,수퍼비와 (Feat. BewhY) (Prod. BewhY) ,0.6033957868540434,0.6221612571971536,0.23182943676490275,0.28661697920421003,0.23727279213443825,0.4928154590987213,0.0,0.5918743139805733,0.02005517755709321,1.0,0.22808644072180564,0.2281206926553245,0.2280863247423945,0.22811584603212906,0.22808650968422234,0.22830338164948416,0.2280861446287647,0.2281636947731509,0.22905213716044096,0.2281434612119547,0.2292719335947152,0.22813518846108224,0.2291524288632121,0.2283591985392173,0.2294051333684131,0.22833003909117386,0.2296069626384582,0.2281596696853712,0.2296883336354837,0.22816786950112705,0.22839987747171595,0.2283676557125975,0.228307757904107,0.22829169035212685
1,"창모 (CHANGMO), 해쉬스완 (Hash Swan), 애쉬 아일랜드 (ASH ISLAND), 김효은  - BAND.mp3",hip-hop,"창모 (CHANGMO), 해쉬스완 (Hash Swan), 애쉬 아일랜드 (ASH ISLAND), 김효은 ",BAND,1.0,1.0,0.35631573378752285,0.524990195985849,0.35739143453109895,0.5906772291623147,0.0,0.6672544751255808,0.0022481520250542397,0.7347902529022285,0.3491316054712359,0.3492287595041894,0.3491318798085187,0.3492429230261069,0.34913170871832905,0.3492767506553013,0.3491317469124729,0.34926870141717026,0.3508707297493152,0.3492284778763113,0.3508400538039869,0.3492898474494051,0.3508292054991932,0.3495911206028279,0.3511712216449785,0.3495272146568144,0.3513786391976039,0.3492707904358395,0.35133318931822866,0.3492543708338885,0.34973699352140525,0.349656201789063,0.3496278945363377,0.349573604621474
2,프라이머리  - 독 (Feat. E Sens of 슈프림팀) 가사-QuC_EqHjA7Y.mp3,hip-hop,프라이머리 ,독 (Feat. E Sens of 슈프림팀) ,0.6755933060073422,0.8069991828066674,0.2578728374835993,0.27705673075892706,0.2627057530209859,0.3736505509439074,0.0,0.6669472164754603,0.018806032124200237,1.0,0.2550945017974743,0.2551024945042067,0.2550944865052937,0.25511045155804224,0.2550944839417987,0.2551619178874769,0.2550943965576306,0.2551531891698189,0.2563140598456341,0.255201166979114,0.2562230350357209,0.25519832450048496,0.25645353628010664,0.25540552030690594,0.2564647880305229,0.2553936862261077,0.2569231230596612,0.2551827163641107,0.2568912849588844,0.2551803080291265,0.25548012513469925,0.2554366104414936,0.2554681552390733,0.2554273000341062
3,"기리보이, Kid Milli, NOEL, 스윙스  - flex (Prod.By 기리보이).mp3",hip-hop,"기리보이, Kid Milli, NOEL, 스윙스 ",flex (Prod.By 기리보이),0.8016775673713767,0.8016775673713767,0.27778694103064755,0.4861644617721603,0.28045287629316074,0.5490460135385948,0.0,0.9401019983184618,0.004751661819105525,1.0,0.2672391582725457,0.2673649690255982,0.2672389328063256,0.2673513826787872,0.2672391366901384,0.2673990816631802,0.2672390760725445,0.26739704868418085,0.2687795976153831,0.2673277049582365,0.2686983384648937,0.2673298509756736,0.2685392176040959,0.267601649978482,0.2686820512086485,0.26759830802984075,0.269073167598587,0.2673418838282964,0.2691780209736965,0.2673289101378598,0.2677620802885918,0.2676886325853109,0.2677795184996161,0.2677010904142689
4,슈퍼비 (SUPERBEE)  - +82 Bars [Rap Legend]-1-sg3fud1EY.mp3,hip-hop,슈퍼비 (SUPERBEE) ,+82 Bars ,0.8510341076322601,0.8510341076322601,0.29600330626327315,0.5079081569594974,0.2978116650837031,0.5680821380063956,0.0,0.9191378069014204,0.004235840881128493,1.0,0.2852088629109197,0.28536808880170894,0.2852091837610889,0.2852973141258361,0.2852088818538077,0.2854255546233345,0.2852089228029258,0.2853139186207768,0.28699184416567164,0.2852894954279187,0.28684821319269704,0.2852897273543669,0.2868272532677342,0.2855776058137389,0.2869344465224224,0.28556114519358106,0.2872428638986335,0.2853136423829557,0.2873193982057601,0.28530870451994206,0.2857929417300005,0.2857063814124641,0.2857532880795247,0.2856780815942101
5,"Jvcki Wai, 영비, Osshun Gum, 한요한  - 띵 (Prod.By 기리보이).mp3",hip-hop,"Jvcki Wai, 영비, Osshun Gum, 한요한 ",띵 (Prod.By 기리보이),0.8579048541464988,0.8579048541464988,0.28676268545496103,0.531599959286285,0.2867304614349621,0.5370916643344146,0.0029081726003185593,1.0,0.0,0.9540056003860029,0.27569705493664864,0.27589640684554073,0.27569638026999915,0.27578651223749895,0.27569710787300883,0.2758873653292169,0.2756969892744245,0.27580645302448786,0.2769629633805652,0.2758209590277046,0.2771544475681313,0.27581930612407823,0.2768493636624526,0.2760426518830956,0.2772336898487152,0.2760496019453639,0.27760430603225034,0.2758045132012795,0.2776789845776056,0.2758030990240641,0.27622540127758044,0.2761524722854736,0.2762256560544641,0.2761526567346938
6,창모 (CHANGMO)  - METEOR.mp3,hip-hop,창모 (CHANGMO) ,METEOR,0.8879348075424855,0.5390899590766771,0.2435329799167537,0.4399291208946394,0.2444072393328296,0.447079792356564,0.0,0.8855333191531799,0.006430807891330354,1.0,0.2367575990559553,0.2368675127215027,0.23675805574364464,0.23684903956308306,0.23675751522538385,0.2368982831527764,0.2367582083214715,0.2368303593343997,0.2377801543612345,0.2368844731705023,0.2375891282175729,0.23681493192186626,0.23821383503967986,0.2370561025713421,0.2379714654652757,0.23705682984965626,0.23843320322917586,0.23683991567527696,0.2384338398051737,0.2368433757453036,0.237035427754079,0.23701189311752965,0.2370319164459494,0.2370089732644391
7,염따  - 돈 Call Me (Prod. by BRLLNT).mp3,hip-hop,염따 ,돈 Call Me (Prod. by BRLLNT),1.0,1.0,0.3513722947183654,0.4205140785962817,0.3536446133895057,0.4661385331832476,0.0,0.7522435522730727,0.005662451948185043,0.8613973733231192,0.3466762151459239,0.3467371212680418,0.3466760453546984,0.3467002633774535,0.3466762500812863,0.3467776458662163,0.34667587239822345,0.3467160231852397,0.3478786265632864,0.3468862407549765,0.3484100683559257,0.3468406233029257,0.34833973189792955,0.3471443206344536,0.3488478995183352,0.3470673072609989,0.3488157672840529,0.34681271438264905,0.3490068586475698,0.3467915380615498,0.3471057626719312,0.3470652204426795,0.3472429063192951,0.3471723430035538
8,HAON  - 붕붕(Feat. Sik-K)(Prod. GroovyRoom).mp3,hip-hop,HAON ,붕붕(Feat. Sik-K)(Prod. GroovyRoom),0.8152278674250271,0.8152278674250271,0.2908076032926996,0.4449626007644312,0.29223058503623905,0.5042270824649108,0.0,1.0,0.0014501286710726926,0.9756054238609932,0.28219288208666143,0.2823056734608072,0.2821928486886429,0.2822540069062677,0.28219280435388816,0.28234196763310826,0.2821929295334548,0.2822730772292196,0.2835134125866741,0.2822990021339449,0.2836648134072664,0.2822815608964743,0.28357650365066417,0.28254955721217545,0.2835990046886596,0.28255113994972353,0.2842611632079525,0.2823014570932419,0.28417848006398266,0.2822863830000877,0.2825962963240969,0.2825547562962671,0.28262509487271203,0.28257741365778616
9,창모 (CHANGMO)  - 아름다워.mp3,hip-hop,창모 (CHANGMO) ,아름다워,0.6358580139330924,0.6358580139330924,0.2927724892088579,0.4430598058737865,0.2941238130896125,0.4555557514503431,0.0,0.9694679913970192,0.002978721595538525,1.0,0.2862736652844581,0.2863691439324784,0.28627342868481154,0.2863628203911101,0.2862737181657792,0.2863970305023955,0.28627379367083045,0.2863535624740457,0.2873458268160903,0.2863882211050122,0.28759428492724626,0.28639733966298003,0.28778555410292833,0.28665507713496635,0.2876588540718789,0.28665040498698874,0.288264896906219,0.2863801815762417,0.2882712892364621,0.2863761631820038,0.2866012599778434,0.2865739163556357,0.2866866164063092,0.28664316416149904
